latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-1.255306,121.606781,330.97,0.53,0.42,2022-01-01,0500,N,VIIRS,n,1,275.37,4.03,D,0
-3.865005,136.417984,332.43,0.42,0.61,2022-01-01,0500,N,VIIRS,n,1,283.68,2.68,D,3
-1.257126,121.605209,332.45,0.53,0.42,2022-01-01,0500,N,VIIRS,n,1,274.84,6.87,D,0
1.392856,109.826782,337.55,0.42,0.61,2022-01-01,0642,N,VIIRS,n,1,281.52,6.01,D,0
0.437684,110.962708,330.45,0.48,0.65,2022-01-01,0642,N,VIIRS,n,1,281.14,3.69,D,0
-2.693124,103.502716,329.42,0.44,0.39,2022-01-01,0642,N,VIIRS,n,1,279.23,2.36,D,0
-0.084858,117.440376,301.31,0.42,0.38,2022-01-01,1742,N,VIIRS,n,1,275.85,0.6,N,0
-0.08832,117.439842,303.62,0.42,0.38,2022-01-01,1742,N,VIIRS,n,1,275.57,0.6,N,0
-0.581812,117.38636,303.89,0.42,0.38,2022-01-01,1742,N,VIIRS,n,1,280.88,0.61,N,2
-0.963063,117.148003,300.88,0.42,0.38,2022-01-01,1742,N,VIIRS,n,1,278.47,0.43,N,2
-1.862305,115.888191,305.9,0.39,0.36,2022-01-01,1742,N,VIIRS,n,1,277.78,1.01,N,0
-6.031644,105.956757,300.81,0.61,0.53,2022-01-01,1742,N,VIIRS,n,1,265.68,3.54,N,2
-8.111971,112.924461,325.26,0.39,0.36,2022-01-01,1742,N,VIIRS,n,1,240.33,3.04,N,1
0.093166,117.471848,296.92,0.42,0.38,2022-01-01,1742,N,VIIRS,n,1,272.9,0.82,N,3
0.849055,101.393044,296.53,0.52,0.67,2022-01-01,1924,N,VIIRS,n,1,272.6,1.24,N,0
0.481377,128.002548,333.03,0.42,0.38,2022-01-02,0442,N,VIIRS,n,1,290.85,7.04,D,2
-7.515958,108.935051,331.59,0.42,0.38,2022-01-02,0618,N,VIIRS,n,1,285.78,2.78,D,0
-2.654045,110.369263,331.63,0.57,0.43,2022-01-02,0624,N,VIIRS,n,1,283.23,4.17,D,0
-0.067385,110.709396,332.37,0.44,0.46,2022-01-02,0624,N,VIIRS,n,1,287.83,2.85,D,0
-4.279908,104.054649,328.97,0.41,0.37,2022-01-02,0624,N,VIIRS,n,1,291.71,2.45,D,0
-8.273538,123.509056,324.14,0.41,0.45,2022-01-02,1724,N,VIIRS,n,1,274.24,2.17,N,1
-4.896445,105.643906,331.08,0.69,0.74,2022-01-02,1724,N,VIIRS,n,1,266.65,6.02,N,0
-2.586177,121.378059,296.52,0.41,0.37,2022-01-02,1724,N,VIIRS,n,1,271.68,1.01,N,2
-2.582155,121.374825,311.86,0.41,0.37,2022-01-02,1724,N,VIIRS,n,1,267.41,3.31,N,2
-2.579313,121.379074,304.23,0.41,0.37,2022-01-02,1724,N,VIIRS,n,1,268.18,1.14,N,2
-2.578723,121.375328,341.26,0.41,0.37,2022-01-02,1724,N,VIIRS,n,1,273.4,3.31,N,2
-2.575882,121.379578,303.23,0.41,0.37,2022-01-02,1724,N,VIIRS,n,1,268.21,1.06,N,2
-2.575293,121.375824,298.73,0.41,0.37,2022-01-02,1724,N,VIIRS,n,1,266.99,0.87,N,2
1.49286,127.633682,310.87,0.55,0.51,2022-01-02,1724,N,VIIRS,n,1,280.37,1.33,N,1
1.493564,127.635277,306.76,0.55,0.51,2022-01-02,1724,N,VIIRS,n,1,278.78,2.65,N,1
-6.582722,139.492828,337.7,0.45,0.39,2022-01-03,0418,N,VIIRS,n,1,293.62,4.35,D,0
-7.323843,131.461899,326.16,0.4,0.45,2022-01-03,0418,N,VIIRS,n,1,293.32,2.67,D,0
-6.533217,139.527008,338.78,0.45,0.39,2022-01-03,0418,N,VIIRS,n,1,292.61,4.28,D,3
-7.327951,131.462524,334.25,0.4,0.45,2022-01-03,0418,N,VIIRS,n,1,293.86,2.67,D,0
-6.580291,139.392593,350.89,0.45,0.39,2022-01-03,0418,N,VIIRS,n,1,294.27,18.34,D,0
-6.52724,139.50946,337.29,0.45,0.39,2022-01-03,0418,N,VIIRS,n,1,293.24,2.72,D,3
-6.587742,139.140366,341.76,0.44,0.38,2022-01-03,0418,N,VIIRS,n,1,293.96,6.55,D,0
-6.587114,139.144302,337.82,0.44,0.38,2022-01-03,0418,N,VIIRS,n,1,293.09,6.55,D,0
-6.52867,139.509506,339.28,0.45,0.39,2022-01-03,0418,N,VIIRS,n,1,293.08,5.4,D,3
-6.590638,139.144852,344.8,0.44,0.38,2022-01-03,0418,N,VIIRS,n,1,290.81,6.55,D,0
-3.748493,136.890167,332.5,0.39,0.36,2022-01-03,0424,N,VIIRS,n,1,289.95,3.05,D,0
-7.791059,112.013824,328.49,0.39,0.36,2022-01-03,0600,N,VIIRS,n,1,297.76,3.29,D,0
-7.518587,111.633781,332.74,0.38,0.36,2022-01-03,0600,N,VIIRS,n,1,294.4,1.79,D,0
-2.694528,103.503815,327.19,0.51,0.5,2022-01-03,0606,N,VIIRS,n,1,281.72,4.05,D,0
-3.903802,122.419189,308.55,0.4,0.37,2022-01-03,1706,N,VIIRS,n,1,276.3,1.32,N,2
-2.581814,121.375252,329.89,0.45,0.39,2022-01-03,1706,N,VIIRS,n,1,230.71,4.78,N,2
-3.869031,122.4021,298.88,0.4,0.37,2022-01-03,1706,N,VIIRS,n,1,271.14,0.9,N,2
-3.8696,122.405716,306.68,0.4,0.37,2022-01-03,1706,N,VIIRS,n,1,270.72,0.68,N,2
-3.870169,122.40934,313.97,0.4,0.37,2022-01-03,1706,N,VIIRS,n,1,271.49,0.68,N,2
-3.87242,122.401566,300.22,0.4,0.37,2022-01-03,1706,N,VIIRS,n,1,271.46,0.9,N,2
